Total Run time: 2.062132s
Profiler Data: Average time, Count, Total time, Percent
     Profiler: nanms, 0, 0.000000s, 0%

Total Run time: 2.589491s
Profiler Data: Average time, Count, Total time, Percent
     Profiler: 0.000091ms, 2069374, 0.187786s, 7%
     filterWords: 167.314053ms, 1, 0.167314s, 6%
          isValidWord: 0.000233ms, 370104, 0.086216s, 52%
     sortWords: 0.223637ms, 1, 0.000224s, 0%
     getValidChains: 1705.084324ms, 1, 1.705084s, 66%
          lastMatchesFirst: 0.000154ms, 538756, 0.082803s, 5%
     filterChains: 615.762949ms, 1, 0.615763s, 24%
          chainToString: 0.000178ms, 62911, 0.011214s, 2%
          stringUsesAllLetters: 0.009039ms, 62911, 0.568659s, 92%
     sortChains: 0.003815ms, 1, 0.000004s, 0%

Total Run time: 2.575732s
Profiler Data: Average time, Count, Total time, Percent
     Profiler: 0.000091ms, 2069374, 0.188621s, 7%
     filterWords: 166.614771ms, 1, 0.166615s, 6%
          isValidWord: 0.000231ms, 370104, 0.085524s, 51%
     sortWords: 0.202179ms, 1, 0.000202s, 0%
     getValidChains: 1678.481579ms, 1, 1.678482s, 65%
          lastMatchesFirst: 0.000154ms, 538756, 0.082946s, 5%
     filterChains: 625.548601ms, 1, 0.625549s, 24%
          chainToString: 0.000179ms, 62911, 0.011274s, 2%
          stringUsesAllLetters: 0.009185ms, 62911, 0.577849s, 92%
     sortChains: 0.001192ms, 1, 0.000001s, 0%

Total Run time: 2.461113s
Profiler Data: Average time, Count, Total time, Percent
     Profiler: 0.000092ms, 2069374, 0.189746s, 8%
     filterWords: 168.791294ms, 1, 0.168791s, 7%
          isValidWord: 0.000236ms, 370104, 0.087398s, 52%
     sortWords: 0.234127ms, 1, 0.000234s, 0%
     getValidChains: 1685.897112ms, 1, 1.685897s, 69%
          lastMatchesFirst: 0.000156ms, 538756, 0.083985s, 5%
     filterChains: 494.164228ms, 1, 0.494164s, 20%
          chainToString: 0.000186ms, 62911, 0.011686s, 2%
          stringUsesAllLetters: 0.007105ms, 62911, 0.446974s, 90%
     sortChains: 0.001669ms, 1, 0.000002s, 0%

Total Run time: 2.326887s
Profiler Data: Average time, Count, Total time, Percent
     Profiler: 0.000090ms, 2069374, 0.186903s, 8%
     filterWords: 165.499210ms, 1, 0.165499s, 7%
          isValidWord: 0.000230ms, 370104, 0.085108s, 51%
     sortWords: 0.218868ms, 1, 0.000219s, 0%
     getValidChains: 1691.497326ms, 1, 1.691497s, 73%
